日付,all,Mon,Tue,Wed,Thu,Fri,Num_Mon,Num_Tue,Num_Wed,Num_Thu,Num_Fri
15:09:00,1.7356097560975587,1.4475000000000002,1.5857142857142856,2.078378378378379,1.4571428571428569,2.1966666666666663,40,35,37,35,30
15:10:00,1.6602941176470587,1.3589743589743588,1.5971428571428572,1.697297297297298,1.3200000000000005,2.293333333333334,39,35,37,35,30
15:11:00,1.6073891625615762,1.2564102564102564,1.425714285714286,1.518918918918919,1.3085714285714287,2.43448275862069,39,35,37,35,29
15:12:00,1.5351485148514852,1.157894736842105,1.1971428571428573,1.5108108108108107,1.282857142857143,2.4275862068965512,38,35,37,35,29
15:13:00,1.4945273631840792,1.0894736842105264,1.1457142857142857,1.4972222222222225,1.2485714285714282,2.2655172413793108,38,35,36,35,29
15:14:00,1.4589999999999999,1.1026315789473684,1.1485714285714284,1.4228571428571426,1.2857142857142858,2.2241379310344827,38,35,35,35,29
15:15:00,1.4224999999999994,1.110526315789474,1.0942857142857143,1.3828571428571426,1.274285714285714,2.3250000000000006,38,35,35,35,28
15:16:00,1.4261306532663318,1.1000000000000003,1.0942857142857143,1.357142857142857,1.2314285714285715,2.2821428571428575,37,35,35,35,28
15:17:00,1.42636815920398,1.0918918918918918,1.1199999999999999,1.3485714285714288,1.2057142857142857,2.23448275862069,37,35,35,35,29
15:18:00,1.4552238805970146,1.0891891891891894,1.0799999999999998,1.3542857142857143,1.2657142857142856,2.1206896551724137,37,35,35,35,29
15:19:00,1.41094527363184,1.0891891891891894,1.0971428571428574,1.2085714285714286,1.2800000000000002,1.9793103448275866,37,35,35,35,29
15:20:00,1.4074999999999998,1.0864864864864865,1.105714285714286,1.1600000000000001,1.2714285714285716,1.9142857142857146,37,35,35,35,28
15:21:00,1.4135678391959803,1.0837837837837843,1.1000000000000003,1.1942857142857144,1.26,1.937037037037037,37,35,35,35,27
15:22:00,1.3803030303030297,1.0837837837837843,1.0857142857142859,1.2000000000000002,1.2857142857142858,1.8076923076923077,37,35,35,35,26
15:23:00,1.3616161616161615,1.064864864864865,1.0657142857142856,1.225714285714286,1.2685714285714287,1.7076923076923083,37,35,35,35,26
15:24:00,1.3705583756345172,1.1000000000000005,1.1400000000000001,1.173529411764706,1.2485714285714287,1.6115384615384618,37,35,34,35,26
15:25:00,1.4065656565656568,1.0972972972972974,1.1399999999999995,1.1852941176470588,1.2942857142857143,1.630769230769231,37,35,34,35,26
15:26:00,1.4171717171717173,1.0702702702702702,1.12,1.225714285714286,1.2828571428571427,1.7639999999999998,37,35,35,35,25
15:27:00,1.4075757575757575,1.0891891891891894,1.1685714285714288,1.2685714285714287,1.2571428571428571,1.612,37,35,35,35,25
15:28:00,1.4175879396984923,1.1162162162162164,1.1457142857142861,1.2714285714285714,1.265714285714286,1.7115384615384621,37,35,35,35,26
15:29:00,1.4261306532663311,1.0842105263157897,1.14,1.2470588235294118,1.334285714285714,1.7346153846153847,38,35,34,35,26
15:30:00,1.4202020202020205,1.0945945945945945,1.1114285714285714,1.2029411764705884,1.3428571428571432,1.8076923076923077,37,35,34,35,26
15:31:00,1.4989898989898987,1.1135135135135137,1.1399999999999997,1.2823529411764705,1.4085714285714288,1.869230769230769,37,35,34,35,26
15:32:00,1.4989898989898993,1.137837837837838,1.102857142857143,1.3529411764705883,1.377142857142857,1.8807692307692307,37,35,34,35,26
15:33:00,1.4768844221105522,1.1459459459459462,1.1142857142857145,1.2294117647058824,1.3085714285714283,1.7666666666666673,37,35,34,35,27
15:34:00,1.4527638190954784,1.1270270270270273,1.1657142857142855,1.2852941176470587,1.3514285714285714,1.7,37,35,34,35,27
15:35:00,1.4467336683417078,1.1135135135135135,1.2342857142857138,1.2676470588235293,1.2771428571428574,1.8962962962962964,37,35,34,35,27
15:36:00,1.43467336683417,1.127027027027027,1.171428571428572,1.252941176470588,1.24,1.9259259259259263,37,35,34,35,27
